Depth,Core,Nitrogen,Carbon
7.5,1,1.3746,12.8175
7.5,2,1.3648,12.9459
7.5,3,1.4517,11.9563
15,1,1.6453,9.4726
15,2,1.3349,8.8248
15,3,0.6649,7.5267
30,1,0.605,5.4904
30,2,0.6957,5.728
30,3,0.6452,5.4617
45,1,0.6728,3.1758
45,2,0.8473,3.2656
45,3,0.605,2.6572
60,1,0.5984,2.8495
60,2,0.507,2.2757
60,3,0.4758,1.9572
7.5,1,1.4476,13.5178
7.5,2,1.6973,16.214
7.5,3,1.8698,17.3818
15,1,0.8903,8.4087
15,2,1.0219,10.0853
15,3,1.0569,9.9275
30,1,0.6208,4.6526
30,2,0.7567,6.9319
30,3,0.745,6.2735
45,1,0.6352,2.6472
45,2,0.6537,2.8899
45,3,0.5735,2.7095
60,1,0.7252,2.4467
60,2,0.6928,2.5337
60,3,0.7513,2.4887
7.5,1,1.7482,15.4452
7.5,2,1.3832,13.5985
7.5,3,1.4714,15.1535
15,1,1.8562,10.3848
15,2,1.1958,8.6755
15,3,1.7462,9.4722
30,1,0.7463,5.6573
30,2,0.9135,5.3843
30,3,0.6221,5.3919
45,1,5.1647,3.1538
45,2,0.4963,4.2943
45,3,0.5923,2.2392
60,1,6.1744,2.5436
60,2,0.5933,2.4061
60,3,0.6953,3.1713
7.5,1,1.5993,16.0458
7.5,2,2.0774,20.333
7.5,3,1.9215,21.071
15,1,1.3219,11.9302
15,2,1.6782,12.8474
15,3,1.1903,11.5563
30,1,1.1309,5.8185
30,2,1.1381,6.4496
30,3,0.7475,7.1307
45,1,0.6235,3.0697
45,2,0.7182,3.1256
45,3,0.739,4.2228
60,1,0.7901,2.7077
60,2,0.5296,7.845
60,3,0.7508,3.0434
7.5,1,1.8865,16.9514
7.5,2,1.829,19.4576
7.5,3,2.2674,23.2727
15,1,1.3391,12.0902
15,2,1.4338,11.2317
15,3,1.2907,12.3244
30,1,0.9373,6.8927
30,2,1.0569,6.4041
30,3,0.8709,7.676
45,1,0.8174,3.3726
45,2,0.8228,3.5392
45,3,0.723,3.4023
60,1,0.7679,2.7411
60,2,0.6328,2.5672
60,3,0.66,2.8
7.5,1,1.4717,16.6382
7.5,2,1.4978,16.5113
7.5,3,1.3412,17.7489
15,1,0.7637,8.1613
15,2,0.8966,8.4976
15,3,0.8447,8.7808
30,1,0.7919,6.4526
30,2,0.8362,5.8762
30,3,0.7265,6.1537
45,1,6.985,2.6483
45,2,0.5275,2.7298
45,3,0.5626,3.1644
60,1,0.5414,3.1645
60,2,0.5927,3.6154
60,3,6.1644,3.7278
7.5,1,1.6996,14.6909
7.5,2,2.4218,21.8604
7.5,3,2.1597,20.172
15,1,1.0664,10.3311
15,2,1.517,14.2073
15,3,1.5218,12.3413
30,1,0.8377,6.1427
30,2,0.5829,6.3473
30,3,0.6205,5.5475
45,1,0.8042,2.6561
45,2,0.6115,4.1186
45,3,0.591,3.2642
60,1,0.6372,3.3827
60,2,0.6265,3.7468
60,3,0.6395,2.5521
7.5,1,1.7358,16.1795
7.5,2,1.4155,15.9653
7.5,3,1.2096,13.4147
15,1,1.1972,9.4695
15,2,1.01,9.29
15,3,0.9569,9.2104
30,1,0.8443,4.986
30,2,0.7136,6.7614
30,3,0.917,5.9491
45,1,0.6071,3.1861
45,2,0.9397,3.9814
45,3,0.605,2.9259
60,1,0.5984,3.1878
60,2,0.507,2.1312
60,3,0.5463,2.5478
7.5,1,1.7621,16.6651
7.5,2,1.552,16.674
7.5,3,1.4178,15.0357
15,1,1.1179,9.2254
15,2,1.0376,8.2511
15,3,1.142,12.0349
30,1,0.8463,5.8563
30,2,0.852,5.9329
30,3,0.8245,6.9253
45,1,0.5108,2.401
45,2,0.6536,3.4494
45,3,0.67,3.56
60,1,0.5571,3.0942
60,2,0.7277,2.1352
60,3,0.7803,2.4154
7.5,1,1.4339,14.3126
7.5,2,1.8946,20.4873
7.5,3,2.5542,26.9501
15,1,1.0626,10.2974
15,2,0.9463,10.8476
15,3,0.9847,10.1056
30,1,0.6221,5.896
30,2,0.9149,6.3833
30,3,0.9543,10.4496
45,1,0.5001,2.6616
45,2,0.5023,2.6653
45,3,0.5486,4.2082
60,1,0.6216,2.1255
60,2,0.6756,2.1746
60,3,0.7701,3.3188
7.5,1,1.9817,19.0903
7.5,2,0.7502,6.1052
7.5,3,2.0239,19.7706
15,1,1.2305,11.6633
15,2,1.5089,13.0068
15,3,1.4392,14.0056
30,1,0.9125,4.8542
